"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000006377",0,2,0,0,0,0
"ENSG00000006432",151,199,100,188,73,39
"ENSG00000006451",707,599,454,888,465,334
"ENSG00000006453",8,24,9,12,12,1
"ENSG00000006459",4399,3744,5682,4491,2448,5415
"ENSG00000006468",4,5,3,4,7,1
"ENSG00000006530",545,442,235,698,264,81
"ENSG00000006534",1100,1624,1510,1790,1164,1595
"ENSG00000006555",375,248,262,554,189,175
"ENSG00000006576",1215,1520,734,1402,653,356
"ENSG00000006606",0,0,0,0,0,0
"ENSG00000006607",423,642,255,563,284,133
"ENSG00000006611",0,0,0,0,2,0
"ENSG00000006625",79,77,48,133,73,26
"ENSG00000006634",355,417,123,355,153,42
"ENSG00000006638",46,65,33,49,77,28
"ENSG00000006652",4231,3228,6969,3321,5306,6240
"ENSG00000006659",0,1,0,4,0,0
"ENSG00000006695",301,344,110,406,162,88
"ENSG00000006704",15,12,1,7,4,1
"ENSG00000006712",2019,1951,1425,1725,1336,1023
"ENSG00000006715",1319,1216,1520,1341,1006,1004
"ENSG00000006740",2,3,0,0,0,0
"ENSG00000006744",960,1043,463,1318,665,262
"ENSG00000006747",9,8,3,12,9,1
"ENSG00000006756",343,1080,698,485,797,512
"ENSG00000006757",67,112,56,77,64,42
"ENSG00000006788",0,1,0,1,0,0
"ENSG00000006831",1458,1311,1162,1912,1176,837
"ENSG00000006837",15,14,5,20,9,3
"ENSG00000007001",2,4,3,3,2,0
"ENSG00000007038",14,58,11,13,55,1
"ENSG00000007047",828,724,1182,966,640,1033
"ENSG00000007062",0,3,2,0,0,3
"ENSG00000007080",508,631,319,792,454,241
"ENSG00000007129",436,331,271,534,326,188
"ENSG00000007168",3400,3001,3426,4362,2751,2626
"ENSG00000007171",2,2,2,3,1,0
"ENSG00000007174",0,3,0,0,0,0
"ENSG00000007202",4761,5009,4024,5488,2764,2810
"ENSG00000007216",0,0,0,0,0,0
"ENSG00000007237",3953,4866,5346,4352,4084,7805
"ENSG00000007255",280,348,131,490,246,64
"ENSG00000007264",1105,1032,563,1800,767,210
"ENSG00000007306",0,1,1,1,4,0
"ENSG00000007312",549,1007,432,977,484,228
"ENSG00000007314",6,9,5,5,6,4
"ENSG00000007341",321,329,160,323,204,95
"ENSG00000007350",274,38,314,422,32,141
"ENSG00000007372",0,0,0,0,7,0
"ENSG00000007376",410,407,317,598,288,225
"ENSG00000007384",0,11,2,2,0,0
"ENSG00000007392",1671,1520,1124,2266,1290,563
"ENSG00000007402",231,308,225,396,132,65
"ENSG00000007516",214,479,360,162,203,300
"ENSG00000007520",535,524,404,742,471,331
"ENSG00000007541",329,405,245,439,314,181
"ENSG00000007545",577,602,357,766,399,208
"ENSG00000007866",1,6,26,0,6,16
"ENSG00000007908",0,1,0,0,2,0
"ENSG00000007923",928,1012,479,1199,532,238
"ENSG00000007933",0,1,0,0,0,0
"ENSG00000007944",3178,3580,2865,2257,2298,2675
"ENSG00000007952",0,0,0,0,0,0
"ENSG00000007968",303,262,122,486,186,192
"ENSG00000008018",1619,1568,1423,2176,1415,946
"ENSG00000008056",5,4,4,3,5,9
"ENSG00000008083",2518,1767,4165,2165,1522,2349
"ENSG00000008086",314,262,539,267,222,526
"ENSG00000008118",0,1,0,0,0,0
"ENSG00000008128",52,98,38,37,52,22
"ENSG00000008130",10904,7658,24066,10918,13153,20631
"ENSG00000008196",0,0,0,0,0,0
"ENSG00000008197",1,0,0,0,1,0
"ENSG00000008226",213,250,207,239,119,97
"ENSG00000008256",361,428,258,387,200,214
"ENSG00000008277",85,81,32,105,50,12
"ENSG00000008282",531,688,523,671,511,353
"ENSG00000008283",885,1057,356,1291,805,115
"ENSG00000008294",4147,2481,6195,3183,2634,3779
"ENSG00000008300",299,116,49,453,64,17
"ENSG00000008311",90,90,29,119,51,9
"ENSG00000008323",2,6,2,3,4,0
"ENSG00000008324",352,317,285,432,250,172
"ENSG00000008382",276,336,202,412,231,143
"ENSG00000008394",281,368,344,349,285,366
"ENSG00000008405",342,391,257,444,282,101
"ENSG00000008438",262,199,1319,391,705,1893
"ENSG00000008441",86,161,90,177,124,43
"ENSG00000008513",4268,3695,2988,4866,2321,2150
"ENSG00000008516",12085,5590,31825,10683,17996,32144
"ENSG00000008517",4814,4526,1987,7004,3338,587
"ENSG00000008710",1841,2119,1030,2628,1065,617
"ENSG00000008735",16,18,15,21,14,1
"ENSG00000008838",938,1069,573,1405,590,343
"ENSG00000008853",283,550,303,419,250,162
"ENSG00000008869",1878,1886,1506,1853,926,902
"ENSG00000008952",1806,1483,2428,2135,1529,2508
"ENSG00000008988",11802,12194,5986,16402,9082,3244
"ENSG00000009307",9982,9091,9005,11295,7463,6111
"ENSG00000009335",1808,1691,1313,2160,1088,832
"ENSG00000009413",1156,948,900,1152,560,547
"ENSG00000009694",279,239,170,306,195,427
"ENSG00000009709",0,1,0,0,0,0
"ENSG00000009724",7,4,2,3,4,0
"ENSG00000009765",0,0,0,0,0,0
"ENSG00000009780",307,386,244,513,224,116
"ENSG00000009790",7052,6733,5582,9537,5544,3855
"ENSG00000009830",167,200,135,255,111,131
"ENSG00000009844",741,805,772,1034,678,591
"ENSG00000009950",2,7,0,3,2,10
"ENSG00000009954",2382,2025,1407,2925,1228,811
"ENSG00000010017",1262,1217,1000,1510,919,961
"ENSG00000010030",331,254,152,579,881,35
"ENSG00000010072",406,423,322,376,192,147
"ENSG00000010165",625,598,407,804,468,243
"ENSG00000010219",117,96,74,197,74,66
"ENSG00000010244",4332,4555,4405,5734,4619,2930
"ENSG00000010256",1247,1467,954,1910,1045,791
"ENSG00000010270",661,644,964,912,621,691
"ENSG00000010278",385,523,677,239,316,536
"ENSG00000010282",4,4,10,6,0,2
"ENSG00000010292",1285,1124,1056,1697,949,636
"ENSG00000010295",2019,2174,1788,2736,1439,1232
"ENSG00000010310",278,281,96,374,189,22
"ENSG00000010318",146,171,108,235,112,76
"ENSG00000010319",60,50,15,77,27,4
"ENSG00000010322",3575,3571,2749,4387,2320,2072
"ENSG00000010327",4615,4990,5698,6019,2724,7523
"ENSG00000010361",381,310,388,357,316,178
"ENSG00000010379",6,7,13,7,8,13
"ENSG00000010404",6856,4719,11507,6379,5667,7401
"ENSG00000010438",1,1,0,0,2,0
"ENSG00000010539",628,383,1225,593,653,793
"ENSG00000010610",4483,6468,2820,6672,3728,1202
"ENSG00000010626",81,62,45,87,45,28
"ENSG00000010671",1869,2340,2200,2442,1817,1918
"ENSG00000010704",203,342,173,306,177,136
"ENSG00000010803",239,334,161,232,120,64
"ENSG00000010810",5783,4833,2836,7795,3240,1595
"ENSG00000010818",3020,2297,1623,2768,1511,721
"ENSG00000010932",4,0,0,2,2,0
"ENSG00000011007",967,951,587,1050,519,436
"ENSG00000011009",1194,1164,1221,1630,1260,873
"ENSG00000011021",777,1190,554,1028,553,343
"ENSG00000011028",44,68,38,63,53,18
"ENSG00000011052",0,0,0,0,0,0
"ENSG00000011083",0,4,0,1,0,1
"ENSG00000011105",114,187,115,101,102,100
"ENSG00000011114",1006,923,886,1020,575,601
"ENSG00000011132",773,812,639,1016,616,384
"ENSG00000011143",146,198,98,216,109,42
"ENSG00000011198",1285,717,2604,932,1003,2246
"ENSG00000011201",2,1,1,0,10,7
"ENSG00000011243",2018,1941,2054,2668,1534,1550
"ENSG00000011258",1361,1213,1080,1461,802,696
"ENSG00000011260",753,738,397,880,484,257
"ENSG00000011275",1880,1910,1829,2219,1164,1151
"ENSG00000011295",646,658,304,801,374,183
"ENSG00000011304",4405,5085,3089,5435,2740,1884
"ENSG00000011332",2,0,0,2,2,0
